date,value
11/27/2000,284.73
11/28/2000,283.67
11/29/2000,282.9
11/30/2000,277.92
12/1/2000,273.86
12/4/2000,271.47
12/6/2000,272.03
12/7/2000,272.71
12/8/2000,273.69
12/12/2000,269.62
12/13/2000,271.92
12/14/2000,271.29
12/15/2000,273.17
12/18/2000,271.19
12/19/2000,271.09
12/20/2000,269.91
12/21/2000,269.85
12/22/2000,267.09
12/25/2000,266.52
12/26/2000,264.86
12/27/2000,266.47
12/28/2000,267.71
12/29/2000,269.19
1/3/2001,272.03
1/4/2001,278.75
1/5/2001,286.76
1/8/2001,295.84
1/9/2001,298.37
1/10/2001,293.65
1/11/2001,295.06
1/12/2001,311.25
1/15/2001,317.51
1/16/2001,308.42
1/17/2001,314.98
1/18/2001,314.26
1/19/2001,316.86
1/22/2001,319.09
1/23/2001,325.62
1/24/2001,325.59
1/25/2001,339.68
1/26/2001,332.13
1/29/2001,332.54
1/30/2001,325.21
1/31/2001,332.77
2/1/2001,330.46
2/2/2001,334.1
2/5/2001,329.08
2/6/2001,323.16
2/7/2001,327.51
2/9/2001,324.72
2/12/2001,318.2
2/13/2001,322.04
2/14/2001,315.25
2/15/2001,315.15
2/16/2001,316
2/19/2001,309.64
2/20/2001,312.32
2/21/2001,310.23
2/22/2001,309.02
2/23/2001,324.24
2/26/2001,321.33
2/27/2001,326.92
2/28/2001,325.2
3/1/2001,316.22
3/2/2001,306.05
3/5/2001,300.24
3/6/2001,299.81
3/7/2001,306.35
3/8/2001,301.76
3/9/2001,307
3/12/2001,304.87
3/13/2001,302.76
3/14/2001,299.93
3/15/2001,296.1
3/16/2001,293
3/19/2001,291.3
3/20/2001,293.14
3/21/2001,291.22
3/22/2001,289.42
3/23/2001,290.25
3/26/2001,293.8
3/27/2001,291.02
3/28/2001,287.1
3/29/2001,287.88
3/30/2001,291.94
4/2/2001,290.11
4/3/2001,285.57
4/4/2001,279.16
4/5/2001,282.02
4/9/2001,278.25
4/10/2001,279.54
4/11/2001,282.37
4/12/2001,291.28
4/17/2001,286.62
4/18/2001,297.33
4/19/2001,298.07
4/20/2001,292.58
4/23/2001,290.54
4/24/2001,296.95
4/25/2001,296.86
4/26/2001,297.14
4/27/2001,297.21
4/30/2001,300.63
5/2/2001,299.52
5/3/2001,301.09
5/4/2001,306.48
5/9/2001,311.73
5/10/2001,316.13
5/11/2001,310.93
5/14/2001,307.53
5/15/2001,307.47
5/16/2001,300.25
5/17/2001,300.98
5/18/2001,300.64
5/21/2001,298.21
5/22/2001,311.17
5/23/2001,311.17
5/24/2001,312.27
5/25/2001,311.11
5/28/2001,316.88
5/29/2001,309.47
5/30/2001,310.18
5/31/2001,310.13
6/1/2001,312.06
6/4/2001,313.96
6/5/2001,310.14
6/6/2001,310.46
6/7/2001,308.04
6/8/2001,312.29
6/11/2001,314.4
6/12/2001,314.2
6/13/2001,324.94
6/14/2001,322.24
6/15/2001,323.97
6/18/2001,318.49
6/19/2001,319.59
6/20/2001,318.47
6/21/2001,316.92
6/22/2001,318.67
6/25/2001,319.81
6/26/2001,320.76
6/27/2001,323.21
6/28/2001,322.55
6/29/2001,322.55
7/2/2001,322.45
7/3/2001,326.81
7/4/2001,326.43
7/5/2001,324.88
7/9/2001,324.47
7/10/2001,323.68
7/11/2001,312.64
7/12/2001,315
7/13/2001,314.31
7/16/2001,309.38
7/17/2001,315.21
7/18/2001,315.16
7/19/2001,316.02
7/20/2001,312.27
7/23/2001,309.58
7/25/2001,308.1
7/26/2001,305.33
7/27/2001,301.09
7/30/2001,298.33
7/31/2001,297.69
8/1/2001,300.53
8/2/2001,303.23
8/3/2001,315.95
8/6/2001,314.06
8/7/2001,316.63
8/8/2001,323.09
8/9/2001,316.77
8/10/2001,315.87
8/14/2001,314.25
8/15/2001,317.77
8/16/2001,317.77
8/17/2001,323.25
8/20/2001,319.7
8/21/2001,319.14
8/22/2001,321.31
8/23/2001,324.9
8/24/2001,332.17
8/27/2001,338.57
8/28/2001,335.49
8/29/2001,338.02
8/30/2001,331.62
8/31/2001,335.57
9/3/2001,341.65
9/4/2001,339.76
9/5/2001,338.21
9/6/2001,342.56
9/7/2001,342.32
9/10/2001,331.65
9/11/2001,330.37
9/13/2001,308.17
9/14/2001,288.1
9/17/2001,270.61
9/18/2001,274.21
9/19/2001,287.13
9/20/2001,279.8
9/21/2001,274.6
9/24/2001,279.49
9/25/2001,276.72
9/26/2001,275.67
9/27/2001,274.76
9/28/2001,277.04
10/1/2001,273.09
10/2/2001,276.49
10/3/2001,276.09
10/4/2001,283.02
10/5/2001,280.88
10/8/2001,277.28
10/9/2001,286.6
10/10/2001,286.72
10/11/2001,286.42
10/12/2001,284.97
10/15/2001,282.06
10/16/2001,283.42
10/17/2001,287.83
10/18/2001,286.15
10/19/2001,284.72
10/22/2001,283.43
10/24/2001,284.06
10/25/2001,280.62
10/26/2001,280.6
10/29/2001,278.16
10/30/2001,273.6
10/31/2001,275.09
11/1/2001,273.64
11/2/2001,274.22
11/5/2001,272.99
11/6/2001,271.44
11/7/2001,265.22
11/8/2001,268.34
11/9/2001,268.11
11/12/2001,271.75
11/13/2001,270.9
11/14/2001,267.2
11/15/2001,268.28
11/16/2001,275.54
11/19/2001,276.97
11/20/2001,283.84
11/21/2001,291.21
11/22/2001,293.14
11/23/2001,296.77
11/26/2001,292.56
11/27/2001,296.46
11/28/2001,292.98
11/29/2001,297.87
11/30/2001,302.62
12/3/2001,302.2
12/4/2001,303.81
12/6/2001,305.25
12/7/2001,304.05
12/11/2001,294.86
12/12/2001,297.71
12/13/2001,294.61
12/14/2001,294
12/17/2001,293.51
12/18/2001,292.87
12/19/2001,295.34
12/20/2001,297.92
12/21/2001,296.69
12/24/2001,302.01
12/25/2001,301.81
12/26/2001,304.44
